id,number,external_id,title,plot,poster,season_id,inserted_at,updated_at
75,9,23867,Trouble in Eden,Hostility and other surprises await Jessica in a town where she's posing as her friend to investigate the rumoured murder of the friend's sister.,o4q2uhIQjpFxPWlpXJzduuBfS1y.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
76,10,23791,Indian Giver,"A resident of Cabot Cove threatens the Native American who claims to own the land, and later is found dead.",dmc01QlayqQhyBPcn3ItwCqX2Cw.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
77,11,23792,Doom with a View,Grady gets into a spot again when he is found with the body of woman known from college days and now had been dating a frat brother who was married.,lxG4u3liQXIV7qXpoSRrHGcpuJe.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
78,12,23868,Who Threw the Barbitals in Mrs. Fletcher's Chowder?,Somebody laced Mrs. Fletcher's chowder and Amos' brutish brother-in-law was in for the long sleep.,vaJ89kC5GcYyvRXfufxSYfhdhNY.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
79,13,23869,Harbinger of Death,"Jessica is thrilled to be visiting her niece Carrie and her husband Leonard, an astronomer dreaming of seeing a long-lost comet, but when Carrie's ex-boyfriend Drake Eaton is murdered in the home she's been staying in, Jessica has to prove not only her niece but also her husband innocent of murder.",uVf8V25CSBJAB95hVI4ppSG5sTP.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
80,14,23870,Curse of the Daanav,Seth's family is touched by an ancient curse attached to the history of a ruby.,uO07Ms9sAVYcbDHvBijO0xqNova.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
81,15,23871,Mourning Among the Wisterias,"Jessica visits her old friend Eugene McClendon, who soon stands accused of the murder of an old friend, Jonathan Keeler. While helping clear Eugene's name, Jessica learns that her friend believes he is dying, and is surprised when he asks her to marry him so that she can look after his affairs once he's gone. Jessica agrees, but only so that they can expose Jonathan's true killer.",r2PI90RYXVV0rMRfj4GsK2dI5qs.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
82,16,23872,Murder Through the Looking Glass,"Jessica gets herself into a mess of trouble after overhearing the dying words of a professional hitman. When she investigates the murder of Adam Cosgrove, she soon discovers that no one seems to want to admit he's missing, let alone dead. With the help of a prickly police sergeant and a priest who isn't quite what he seems, Jessica discovers that the man who was killed was in charge of leading a top-secret government mission to protect a foreign diplomat, and that someone in the safehouse has gone to the other side.",mrhMtXQL8929OrpbvYdCJfvQlx5.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
88,22,23877,The Body Politic,The suicide of a campaign manager who is suspected of having an affair with a married woman excites the press.,iKeoghpLjRw4xrjV80VATsm1knH.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
89,1,23944,J.B. As in Jailbird,A colossal mix-up puts Jessica in jail as a suspect in a murder only she witnessed. British agent Hagarty returns.,7a5iFYmkjq1Mg2nR7IpSSpI3N8f.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
90,2,23945,A Little Night Work,A senatorial hopeful is murdered and his wife's necklace stolen.,qa56JzDOKdCoLBItFHr0WeUxewG.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
91,3,23946,Mr. Penroy's Vacation,The sisters used a new type of fertilizer to make their chrysanthemums best of show.,5f1JA5L7vaUV8nTgHxBIT3Mr5gW.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
92,4,23947,"Snow White, Blood Red","A blizzard interrupts a skiing vacation and traps everyone, including a killer.",4jgc6FbQ1CCGxVM3DGEbq3OsBk.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
93,5,23948,Coal Miner's Slaughter,The coal miner's daughter thinks the mine owner is responsible for her father's death and someone takes action.,ssxGRQTqgy36oUBgxX3Z5uo3NtG.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
95,7,23950,The Last Flight of the Dixie Damsel,The airplane her late husband bailed out of in 1952 has finally been found -- with a body inside.,xBxw1W069hot6x4YIcP4x2awbE8.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
96,8,23951,Prediction: Murder,"A psychic's predictions have come true, convincing a rancher's daughter that the next one, a fatal fire, will happen.",5AKH8jIihLVhXg03BPZyQ4YIEhj.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
97,9,23952,"Something Borrowed, Someone Blue",Grady's wedding seems doomed when someone does in the persnickety housekeeper.,7B85aWqvYp8kTkHaCmWC2lzWbXf.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
98,10,23953,Weave a Tangled Web,Things look bad when a married woman's keys are found by the body in a motel room and she can't explain why.,gNbB4d6FBcmdAD2LlpVb5lFRe6B.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
99,11,23954,The Search for Peter Kerry,A long missing heir turns up and trouble ensues.,jNWgPpk023XNzG4kLy7XVdS0s21.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
100,12,23955,Smooth Operators,"When a drunk is found dead in the alley, it raises a lot of questions. He was well dressed (but only one shoe) and had no id or money--a robbery or something else?",87oEGdjcUnRVCfKO1AIP2YV4oWf.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
101,13,23956,"Fire Burn, Cauldron Bubble",A very attractive young witch appears in Cabot Cove making some residents wonder if she really died a century or so ago.,j2VuHhwIYjcdRBhn6qkXRTNBpyU.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
102,14,23957,From Russia ... With Blood,A purse snatcher gets Jessica in big trouble in Moscow. What they found in her purse shouldn't have been there.,u0UhaiuWeuBL96cWiAD7AqJDr0r.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
103,15,23958,Alma Murder,"An old English professor is caught red-handed over a young girl's body and insists he did it, but a young man later confesses. Whodunit?",pZ5IW0DUakS0zvDMvgC2sQElQyV.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
104,16,23959,Truck Stop,Walter tells his story by way of black and white flashbacks which makes an interesting change from the usual. He has made a tape of the events that ended with his murder and we see the events unfold.,bYSDowX52wMxPQ0DpQnLh7sDus.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
105,17,23960,The Sins of Castle Cove,"A red hot novel, written by a former Fletcher student, seems to expose the small town's secrets and inspires murder. Julie Adams, Gloria DeHaven, Kathryn Grayson and Ruth Roman appear again as the local gossips.",9aajhbESDWcZu42O0EigyQZzxvI.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
106,18,23961,Trevor Hudson's Legacy,A small town editor in Montana threatens to claim in public that he is the real author of a dead man's manuscript.,t0xJBSs9AasdY5JOTspONdYdw0K.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
107,19,23962,Double Exposure,"In a strange case, Jessica bumps into an old friend who is supposed to be dead. His widow insists he is dead and Jessica hires Harry McGraw to investigate.",lsmFDVmj4I5PU7DcCxuo8uTwo3x.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
108,20,23963,"Three Strikes, You're Out",A surprised burglar is blamed for the death of the team's pre-game TV Host.,99se5VeVyL1uSOERXforyr4bz4e.jpg,5,2020-12-13 11:40:01,2021-04-21 18:21:48
